;name;image;appearences;description
461;Brian;https://static.wikia.nocookie.net/marveldatabase/images/6/66/Brian_%28Earth-616%29_from_Daredevil_Vol_1_216_001.png/revision/latest?cb=20140719115123;Daredevil Vol 1 216;Brian was an IRA guard who was watching over the Old Woman of Beare.[260]
462;Brice;https://static.wikia.nocookie.net/marveldatabase/images/9/90/Brice_%28Earth-616%29_from_Captain_America_Vol_1_388_0001.jpg/revision/latest?cb=20200621100033;Captain America Vol 1 388;Brice was one of the security men at the Smith Building serving the Red Skull. He called Elron over the radio and told him that the Red Skull sparring partners supplied by Taskmaster, whom he called the five little lambs, had been checked and that he could proceed.[261]
463;Brick;https://static.wikia.nocookie.net/marveldatabase/images/3/38/Brick_%28Earth-616%29_from_Werewolf_by_Night_Vol_3_4_0001.png/revision/latest?cb=20210130182625;Werewolf by Night Vol 3 4;Dr. Brick was a psychiatrist who worked at the Arizona Home for Troubled Empowered Youth and assisted in the action of one of his patients as he helped the Marshals free Jake Gomez and the other prisoners Life Pharmaceuticals was experimenting with.[262]
464;Bridget;https://static.wikia.nocookie.net/marveldatabase/images/9/9f/Bridget_%28Cook%29_%28Earth-616%29_from_Iron_Man_Vol_1_44_001.png/revision/latest?cb=20210130233233;Iron Man Vol 1 44;Bridget was Tony Stark's cook. She was an immigrant from Ireland.[263]
465;Bridget;https://static.wikia.nocookie.net/marveldatabase/images/f/fc/Bridget_%28Earth-616%29_from_Mystery_Men_Vol_1_2_0001.jpg/revision/latest?cb=20210330175228;Mystery Men Vol 1 2;"Bridget was Lewis Green's girlfriend. When he returned from the excavations carried out in Troy to retrieve an amulet for the General, he went to Bridget's house, defying the General's orders to go directly to him, but when he was at the door of his house Bridget told him that things during her absence had changed and she was now with another man.[264]
After acquiring the powers of Achilles, Lewis returned to Bridget wanting to win her back and heavily beat up Joey, but Bridget refused him in spite of everything, telling him that she had never loved him.[265]"
466;Bridgette;https://static.wikia.nocookie.net/marveldatabase/images/5/54/Brigette_%28Earth-616%29_from_Excalibur_Vol_1_56_001.png/revision/latest?cb=20200227184422;Excalibur Vol 1 56;Bridgette was one of Sat-Yr-Nin's amazonian guards. She was ordered to find Kitty Pryde.[266]
467;Briggs;https://static.wikia.nocookie.net/marveldatabase/images/2/26/Briggs_%28Earth-616%29_from_X-Force_Vol_1_77_0001.jpg/revision/latest?cb=20090509221759;X-Force Vol 1 77;Agent Briggs is an operative for Damocles Foundation.[267][268]
468;Briggs;https://static.wikia.nocookie.net/marveldatabase/images/f/fd/Briggs_%28Earth-616%29_from_Hellions_Vol_1_2_0001.jpg/revision/latest?cb=20200724172151;Hellions Vol 1 2;Sheriff Briggs was head of the Omaha police and welcomed the Hellions when they were sent to Omaha to demolish Mr. Sinister's orphanage.[269]
469;Brinina;https://static.wikia.nocookie.net/marveldatabase/images/8/81/Brinina_%28Earth-616%29_from_The_Variants_Vol_1_1_001.jpg/revision/latest?cb=20220702162718;The Variants Vol 1 1;Brinina was the saleswoman of a cosmetics store that Jessica Jones approached to find a lipstick to use for her wedding to Luke.[270]
470;Britney;https://static.wikia.nocookie.net/marveldatabase/images/7/7d/Britney_%28Earth-616%29_from_Skrull_Kill_Krew_Vol_2_1_001.png/revision/latest?cb=20160902162316;Skrull Kill Krew Vol 2 1;Britney was a girl lured into a party by a group of Skrulls that tried to slaughter her. She was saved by Ryder.[271]
471;Brokeridge;https://static.wikia.nocookie.net/marveldatabase/images/2/25/Mr._Brokeridge_%28Earth-616%29_from_Avengers_The_Initiative_Annual_Vol_1_1_001.png/revision/latest?cb=20110919083509;Avengers: The Initiative Annual Vol 1 1;Mentions: Avengers: The Initiative #24
472;Brokeridge;https://static.wikia.nocookie.net/marveldatabase/images/c/cc/Mrs._Brokeridge_%28Earth-616%29_from_Avengers_The_Initiative_Annual_Vol_1_1_001.png/revision/latest?cb=20110919083533;Avengers: The Initiative Annual Vol 1 1;Mentions: Avengers: The Initiative #24
473;Bromes;https://static.wikia.nocookie.net/marveldatabase/images/0/0c/Bromes_%28Earth-616%29_from_X-Men_Curse_of_the_Man-Thing_Vol_1_1_0001.jpg/revision/latest?cb=20210506170048;X-Men: Curse of the Man-Thing Vol 1 1;After her daughter Harriet was expelled from seven schools for continuing bouts of violence. he satisfied her that she wanted to stay away from her people, so they moved to the woods where he died in a fire.[273]
474;Bronson;https://static.wikia.nocookie.net/marveldatabase/images/a/a5/Bronson_from_Journey_into_Mystery_Vol_1_1_001.jpg/revision/latest?cb=20200224063101;Journey into Mystery Vol 1 1;Bronson was a grave robber and a murderer who took a job as a deep-sea diver to hide from the authorities. Bronson decided to murder the crew and keep the treasure for himself. Bronson donned a heavy diving suit and blew up the ship and went to claim the diamonds.
475;Brown;https://static.wikia.nocookie.net/marveldatabase/images/a/a6/Brown_%28Earth-616%29_from_Incredible_Hulk_Vol_1_463_001.png/revision/latest?cb=20170329144608;Incredible Hulk Vol 1 463;Brown was a secret service agent tasked to protect Chelsea Clinton.[275]
476;Browning;https://static.wikia.nocookie.net/marveldatabase/images/7/7c/Browning_%28Earth-616%29_from_Spectacular_Spider-Man_Vol_1_212_001.png/revision/latest?cb=20130709115715;Spectacular Spider-Man Vol 1 212;Mr. Browning was an hospital ward at Ryan Mental Hospital killed by the Master of Vengeance.[276]
477;Brownlee;https://static.wikia.nocookie.net/marveldatabase/images/f/f8/Mr._Brownlee_%28Earth-616%29_from_Jessica_Jones_Vol_2_5_001.jpg/revision/latest?cb=20170730183316;Jessica Jones Vol 2 1;"Minor Appearances: Jessica Jones (Vol. 2) #6, Jessica Jones (Vol. 2) #13, Jessica Jones (Vol. 2) #16
Mentions: Jessica Jones (Vol. 2) #4"
